STAGE:2024-04-28 16:13:59 2178175:2178175 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-04-28 16:14:11 2178175:2178175 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-04-28 16:14:11 2178175:2178175 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
        autograd::engine::evaluate_function: TBackward0         0.04%       6.637ms         0.07%      13.551ms       9.378us       0.000us         0.00%       0.000us       0.000us          1445  
      autograd::engine::evaluate_function: DivBackward0         0.03%       6.201ms         1.57%     284.040ms     394.500us       0.000us         0.00%     274.702ms     381.531us           720  
      autograd::engine::evaluate_function: AddBackward0         0.03%       6.138ms         0.04%       6.381ms       5.274us       0.000us         0.00%     200.000us       0.165us          1210  
                                           aten::square         0.03%       6.102ms         1.11%     199.764ms     103.237us       0.000us         0.00%     149.653ms      77.340us          1935  
                                              aten::exp         0.03%       5.774ms         0.53%      95.171ms     196.229us      83.706ms         0.71%      98.395ms     202.876us           485  
                                              aten::max         0.03%       5.752ms         0.05%       9.273ms      37.849us      19.189ms         0.16%      25.922ms     105.804us           245  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 18.075s
Self CUDA time total: 11.768s

