STAGE:2024-04-28 16:07:03 2175220:2175220 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-04-28 16:07:06 2175220:2175220 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-04-28 16:07:06 2175220:2175220 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         0.01%     161.000us         0.01%     336.000us      33.600us     356.000us         0.01%     407.000us      40.700us            10  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     356.000us         0.01%     356.000us      35.600us            10  
                                            aten::fill_         0.08%       2.545ms         3.04%      96.992ms     404.133us     240.000us         0.01%      10.335ms      43.062us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     240.000us         0.01%     240.000us       1.000us           240  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.00%      11.000us       2.200us             5  
                                           aten::arange         0.00%     141.000us         0.01%     298.000us      29.800us       5.000us         0.00%       9.000us       0.900us            10  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.00%       5.000us       1.000us             5  
                                           forward_pass         2.29%      73.051ms        89.75%        2.867s     573.383ms       0.000us         0.00%        3.475s     695.090ms             5  
                                        aten::embedding         0.00%      97.000us         0.06%       1.768ms     176.800us       0.000us         0.00%     476.000us      47.600us            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.194s
Self CUDA time total: 3.193s

