STAGE:2024-04-28 16:05:11 2174329:2174329 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-04-28 16:05:23 2174329:2174329 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-04-28 16:05:23 2174329:2174329 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.662ms         0.46%      54.662ms     227.758us           240  
                                     aten::masked_fill_         0.03%       4.920ms         0.15%      26.500ms      55.208us      54.421ms         0.46%      69.555ms     144.906us           480  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      54.421ms         0.46%      54.421ms     113.377us           480  
                                              aten::sub         0.02%       3.477ms         0.05%       8.250ms      32.353us      31.117ms         0.26%      40.288ms     157.992us           255  
                                        cudaMemsetAsync         0.69%     124.057ms         0.69%     124.057ms      85.853us      25.029ms         0.21%      25.029ms      17.321us          1445  
                                  cudaStreamIsCapturing         0.00%     125.000us         0.00%     125.000us       0.397us      21.833ms         0.19%      21.833ms      69.311us           315  
                                        cudaMemcpyAsync         5.25%     949.985ms         5.25%     949.985ms     984.440us      21.614ms         0.18%      21.614ms      22.398us           965  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      21.099ms         0.18%      21.099ms      43.059us           490  
                                              aten::max         0.03%       5.605ms         0.05%       9.081ms      37.065us      19.205ms         0.16%      25.844ms     105.486us           245  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 18.091s
Self CUDA time total: 11.778s

